,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
258,1155,1,2.3122104766042665e-06,0.08238716819855307,0.0,6,21,0.1949579831932773,"Thiagarajan, J.J.",incoming
259,1215,1,2.3122104766042665e-06,0.08238716819855307,0.0,6,21,0.1949579831932773,"Wang, B.",incoming
302,566,1,6.283209401019978e-05,0.10465981471942176,0.0,6,21,0.1949579831932773,"Ji, C.",incoming
303,667,1,6.283209401019978e-05,0.10465981471942176,0.0,6,21,0.1949579831932773,"Lan, J.",incoming
304,1058,1,6.283209401019978e-05,0.10465981471942176,0.0,6,21,0.1949579831932773,"Shu, X.",incoming
305,1217,3,6.283209401019978e-05,0.10465981471942176,0.0,6,21,0.1949579831932773,"Wang, J.",incoming
307,1316,1,6.283209401019978e-05,0.10465981471942176,0.0,6,21,0.1949579831932773,"Zhao, K.",incoming
253,136,1,5.018341766006915e-06,0.09237541947822321,0.0025772067674932706,8,21,0.1949579831932773,"Bremer, P.-T.",
254,719,1,5.018341766006915e-06,0.09237541947822321,0.0025772067674932706,8,21,0.1949579831932773,"Liu, S.",
256,876,1,5.018341766006915e-06,0.09237541947822321,0.0025772067674932706,8,21,0.1949579831932773,"Pascucci, V.",
257,1092,1,5.018341766006915e-06,0.09237541947822321,0.0025772067674932706,8,21,0.1949579831932773,"Srikumar, V.",incoming
123,1052,1,0.00013649607032432186,0.11986590002434776,0.0009765099658966354,9,21,0.1949579831932773,"Shen, Q.",incoming
371,705,1,2.7271140146649955e-05,0.10488923123568528,0.02731510866948281,9,21,0.1949579831932773,"Li, Z.",incoming
121,44,3,0.00015204849993627568,0.13655955276746468,0.06227238026055679,11,21,0.1949579831932773,"Archambault, D.",incoming
122,926,1,0.0001431199635722387,0.12053014430659854,0.028960248687723306,12,21,0.1949579831932773,"Qu, H.",
211,234,1,7.463800876828311e-05,0.11809098541391812,0.015033620874629713,12,21,0.1949579831932773,"Cui, W.",
306,1311,1,0.0002948594246599316,0.11508048891226462,0.013345374681711653,12,21,0.1949579831932773,"Zhang, H.",incoming
212,1279,1,0.00012807536858879746,0.11879460598242211,0.030750477305431033,20,21,0.1949579831932773,"Wu, Y.",
294,966,1,2.8228567826124172e-05,0.11076497057805468,0.0,1,22,0.2923076923076923,"Rodrigues, N.",incoming
288,1185,1,4.243101734951428e-05,0.09943987383566007,0.0,2,22,0.2923076923076923,"Valdez, A.C.",incoming
289,1325,1,4.243101734951428e-05,0.09943987383566007,0.0,2,22,0.2923076923076923,"Ziefle, M.",incoming
334,448,1,9.014522984825086e-05,0.11227233057184333,0.0,3,22,0.2923076923076923,"G̦rtler, J.",incoming
174,131,1,0.00011067707483882982,0.11237780011676755,0.0,5,22,0.2923076923076923,"Brandes, U.",
176,401,1,0.00011067707483882982,0.11237780011676755,0.0,5,22,0.2923076923076923,"Goertler, J.",incoming
177,836,1,0.00011067707483882982,0.11237780011676755,0.0,5,22,0.2923076923076923,"Nocaj, A.",
